n,b,total_time,transmit_time,init_time
320000,16,0.237001,0.236947,0.000054
320000,16,0.232074,0.232018,0.000056
320000,16,0.286922,0.286869,0.000053
320000,16,0.284543,0.284477,0.000066
320000,16,0.267757,0.267650,0.000107
320000,16,0.300632,0.300536,0.000096
320000,16,0.292522,0.288720,0.003802
320000,16,0.327188,0.325210,0.001978
320000,16,0.326840,0.324868,0.001972
320000,16,0.291381,0.291318,0.000063
320000,16,0.244644,0.244552,0.000092
320000,16,0.224399,0.224325,0.000074
320000,16,0.242917,0.242855,0.000062
320000,16,0.266461,0.266392,0.000069
320000,16,0.377517,0.377398,0.000119
320000,16,0.292017,0.291967,0.000050
320000,16,0.286893,0.286808,0.000085
320000,16,0.252548,0.252495,0.000053
320000,16,0.294863,0.294793,0.000070
320000,16,0.296197,0.296099,0.000098
320000,16,0.279763,0.277293,0.002470
320000,16,0.258766,0.257637,0.001129
320000,16,0.250523,0.246725,0.003798
320000,16,0.305367,0.304132,0.001235
320000,16,0.297771,0.297705,0.000066
320000,16,0.354512,0.354445,0.000067
320000,16,0.258858,0.258794,0.000064
320000,16,0.241033,0.240970,0.000063
320000,16,0.243294,0.243240,0.000054
320000,16,0.286511,0.286436,0.000075
320000,16,0.285113,0.285055,0.000058
320000,16,0.285965,0.285903,0.000062
320000,16,0.288100,0.287864,0.000236
320000,16,0.276353,0.275541,0.000812
320000,16,0.303671,0.300393,0.003278
320000,16,0.296285,0.296223,0.000062
320000,16,0.328025,0.327957,0.000068
320000,16,0.401130,0.401063,0.000067
320000,16,0.317996,0.317633,0.000363
320000,16,0.300629,0.299278,0.001351
320000,16,0.294144,0.294053,0.000091
320000,16,0.242677,0.242557,0.000120
320000,16,0.356461,0.356392,0.000069
320000,16,0.269913,0.269853,0.000060
320000,16,0.296516,0.296461,0.000055
320000,16,0.277316,0.277264,0.000052
320000,16,0.290057,0.290006,0.000051
320000,16,0.269151,0.269070,0.000081
320000,16,0.291543,0.291473,0.000070
320000,16,0.321655,0.321563,0.000092
320000,16,0.311506,0.311088,0.000418
320000,16,0.282236,0.282183,0.000053
320000,16,0.269244,0.269195,0.000049
320000,16,0.351209,0.350400,0.000809
320000,16,0.332113,0.332038,0.000075
320000,16,0.232890,0.232832,0.000058
320000,16,0.305162,0.305099,0.000063
320000,16,0.258927,0.258873,0.000054
320000,16,0.266848,0.266792,0.000056
320000,16,0.275106,0.275039,0.000067
320000,16,0.304267,0.304170,0.000097
320000,16,0.279175,0.277277,0.001898
320000,16,0.237601,0.237530,0.000071
320000,16,0.263583,0.263528,0.000055
320000,16,0.264765,0.264695,0.000070
320000,16,0.299975,0.299921,0.000054
320000,16,0.271515,0.271456,0.000059
320000,16,0.279493,0.279436,0.000057
320000,16,0.272188,0.272136,0.000052
320000,16,0.295562,0.295509,0.000053
320000,16,0.284868,0.284817,0.000051
320000,16,0.269793,0.269732,0.000061
320000,16,0.270831,0.270779,0.000052
320000,16,0.271175,0.271126,0.000049
320000,16,0.264165,0.264112,0.000053
320000,16,0.268294,0.268247,0.000047
320000,16,0.271935,0.271890,0.000045
320000,16,0.230227,0.230173,0.000054
320000,16,0.272842,0.272749,0.000093
320000,16,0.257313,0.257266,0.000047
320000,16,0.276225,0.276169,0.000056
320000,16,0.259614,0.259546,0.000068
320000,16,0.250649,0.250599,0.000050
320000,16,0.295676,0.295614,0.000062
320000,16,0.279009,0.278956,0.000053
320000,16,0.268207,0.268160,0.000047
320000,16,0.280260,0.280199,0.000061
320000,16,0.279293,0.279237,0.000056
320000,16,0.294114,0.294060,0.000054
320000,16,0.284858,0.284810,0.000048
320000,16,0.262489,0.262437,0.000052
320000,16,0.291553,0.291500,0.000053
320000,16,0.243044,0.242992,0.000052
320000,16,0.348997,0.348939,0.000058
320000,16,0.394338,0.394283,0.000055
320000,16,0.241116,0.241065,0.000051
320000,16,0.217554,0.217505,0.000049
320000,16,0.253625,0.253556,0.000069
320000,16,0.267697,0.267645,0.000052
320000,16,0.279766,0.279679,0.000087
640000,16,0.482109,0.482045,0.000064
640000,16,0.530147,0.530057,0.000090
640000,16,0.583782,0.583725,0.000057
640000,16,0.516594,0.516372,0.000222
640000,16,0.581571,0.581510,0.000061
640000,16,0.557460,0.557401,0.000059
640000,16,0.553393,0.553298,0.000095
640000,16,0.604439,0.604388,0.000051
640000,16,0.509028,0.508937,0.000091
640000,16,0.548010,0.547915,0.000095
640000,16,0.543552,0.543496,0.000056
640000,16,0.536070,0.536019,0.000051
640000,16,0.591769,0.591719,0.000050
640000,16,0.555573,0.555494,0.000079
640000,16,0.504734,0.504651,0.000083
640000,16,0.590000,0.589944,0.000056
640000,16,0.577974,0.577923,0.000051
640000,16,0.559159,0.559102,0.000057
640000,16,0.520258,0.520205,0.000053
640000,16,0.547809,0.547760,0.000049
640000,16,0.555002,0.554952,0.000050
640000,16,0.576790,0.576741,0.000049
640000,16,0.473702,0.473613,0.000089
640000,16,0.557679,0.557625,0.000054
640000,16,0.566634,0.566551,0.000083
640000,16,0.594222,0.594145,0.000077
640000,16,0.494547,0.494504,0.000043
640000,16,0.398637,0.398600,0.000037
640000,16,0.395030,0.394972,0.000058
640000,16,0.402487,0.402451,0.000036
640000,16,0.327461,0.327419,0.000042
640000,16,0.271595,0.271512,0.000083
640000,16,0.378880,0.378804,0.000076
640000,16,0.427963,0.427896,0.000067
640000,16,0.399284,0.399246,0.000038
640000,16,0.376702,0.376648,0.000054
640000,16,0.375879,0.375797,0.000082
640000,16,0.407281,0.407200,0.000081
640000,16,0.357812,0.357774,0.000038
640000,16,0.399384,0.399344,0.000040
640000,16,0.345511,0.345471,0.000040
640000,16,0.394245,0.392172,0.002073
640000,16,0.396412,0.396343,0.000069
640000,16,0.410178,0.410110,0.000068
640000,16,0.284920,0.284833,0.000087
640000,16,0.381468,0.381378,0.000090
640000,16,0.319565,0.319527,0.000038
640000,16,0.356108,0.356066,0.000042
640000,16,0.337260,0.337214,0.000046
640000,16,0.356306,0.356267,0.000039
640000,16,0.465062,0.465016,0.000046
640000,16,0.537975,0.537915,0.000060
640000,16,0.421647,0.421534,0.000113
640000,16,0.600891,0.600779,0.000112
640000,16,0.593262,0.593202,0.000060
640000,16,0.587451,0.587394,0.000057
640000,16,0.539561,0.539508,0.000053
640000,16,0.480887,0.480777,0.000110
640000,16,0.560786,0.560736,0.000050
640000,16,0.523975,0.523919,0.000056
640000,16,0.536823,0.536768,0.000055
640000,16,0.529149,0.529096,0.000053
640000,16,0.577092,0.577042,0.000050
640000,16,0.506325,0.506271,0.000054
640000,16,0.585339,0.585262,0.000077
640000,16,0.474995,0.474884,0.000111
640000,16,0.627946,0.627889,0.000057
640000,16,0.408995,0.408947,0.000048
640000,16,0.339309,0.338759,0.000550
640000,16,0.309109,0.309045,0.000064
640000,16,0.277019,0.276972,0.000047
640000,16,0.399425,0.399381,0.000044
640000,16,0.390861,0.390777,0.000084
640000,16,0.395449,0.395412,0.000037
640000,16,0.395507,0.395469,0.000038
640000,16,0.363744,0.363709,0.000035
640000,16,0.378172,0.378103,0.000069
640000,16,0.312823,0.312783,0.000040
640000,16,0.270897,0.270835,0.000062
640000,16,0.365678,0.365633,0.000045
640000,16,0.398075,0.398038,0.000037
640000,16,0.367975,0.367937,0.000038
640000,16,0.268565,0.268505,0.000060
640000,16,0.382749,0.382656,0.000093
640000,16,0.394685,0.394642,0.000043
640000,16,0.401068,0.400999,0.000069
640000,16,0.361897,0.361862,0.000035
640000,16,0.397861,0.397822,0.000039
640000,16,0.410709,0.410666,0.000043
640000,16,0.323018,0.322946,0.000072
640000,16,0.389170,0.389130,0.000040
640000,16,0.374767,0.374715,0.000052
640000,16,0.534266,0.534181,0.000085
640000,16,0.466202,0.466118,0.000084
640000,16,0.501138,0.501080,0.000058
640000,16,0.513817,0.513759,0.000058
640000,16,0.433237,0.433152,0.000085
640000,16,0.565666,0.565602,0.000064
640000,16,0.596251,0.596155,0.000096
640000,16,0.584451,0.584371,0.000080
20000,32,0.018313,0.018249,0.000064
20000,32,0.017973,0.017934,0.000039
20000,32,0.016681,0.016651,0.000030
20000,32,0.016788,0.016762,0.000026
20000,32,0.016805,0.016771,0.000034
20000,32,0.017504,0.017470,0.000034
20000,32,0.017097,0.017068,0.000029
20000,32,0.017155,0.017121,0.000034
20000,32,0.019052,0.019018,0.000034
20000,32,0.016042,0.015991,0.000051
20000,32,0.013061,0.013027,0.000034
20000,32,0.015130,0.014438,0.000692
20000,32,0.018371,0.018322,0.000049
20000,32,0.019019,0.018977,0.000042
20000,32,0.018619,0.018585,0.000034
20000,32,0.018563,0.018532,0.000031
20000,32,0.018564,0.018530,0.000034
20000,32,0.018934,0.018905,0.000029
20000,32,0.018853,0.018721,0.000132
20000,32,0.030348,0.030284,0.000064
20000,32,0.029870,0.029799,0.000071
20000,32,0.014170,0.014100,0.000070
20000,32,0.013417,0.013347,0.000070
20000,32,0.013320,0.013225,0.000095
20000,32,0.013357,0.013263,0.000094
20000,32,0.016478,0.016426,0.000052
20000,32,0.018081,0.018021,0.000060
20000,32,0.019530,0.019462,0.000068
20000,32,0.016632,0.016577,0.000055
20000,32,0.013861,0.013800,0.000061
20000,32,0.018445,0.018398,0.000047
20000,32,0.017384,0.017333,0.000051
20000,32,0.014874,0.014821,0.000053
20000,32,0.027716,0.027665,0.000051
20000,32,0.018560,0.018508,0.000052
20000,32,0.020729,0.020651,0.000078
20000,32,0.046185,0.043891,0.002294
20000,32,0.014010,0.013920,0.000090
20000,32,0.012138,0.012047,0.000091
20000,32,0.047773,0.047540,0.000233
20000,32,0.020906,0.020751,0.000155
20000,32,0.020673,0.020588,0.000085
20000,32,0.015182,0.015109,0.000073
20000,32,0.017053,0.016999,0.000054
20000,32,0.017622,0.017565,0.000057
20000,32,0.013507,0.013430,0.000077
20000,32,0.017624,0.017567,0.000057
20000,32,0.017542,0.017496,0.000046
20000,32,0.017875,0.017830,0.000045
20000,32,0.018892,0.018854,0.000038
20000,32,0.018830,0.018800,0.000030
20000,32,0.018433,0.018405,0.000028
20000,32,0.017295,0.017255,0.000040
20000,32,0.016539,0.016498,0.000041
20000,32,0.018870,0.018837,0.000033
20000,32,0.045914,0.043911,0.002003
20000,32,0.011579,0.011495,0.000084
20000,32,0.017970,0.017903,0.000067
20000,32,0.018920,0.018285,0.000635
20000,32,0.015523,0.015459,0.000064
20000,32,0.014522,0.014463,0.000059
20000,32,0.016839,0.016791,0.000048
20000,32,0.019582,0.019534,0.000048
20000,32,0.013944,0.013893,0.000051
20000,32,0.013149,0.013048,0.000101
20000,32,0.016908,0.016869,0.000039
20000,32,0.017386,0.017352,0.000034
20000,32,0.016674,0.016641,0.000033
20000,32,0.017480,0.017449,0.000031
20000,32,0.016561,0.016532,0.000029
20000,32,0.018802,0.018773,0.000029
20000,32,0.018802,0.018773,0.000029
20000,32,0.018626,0.018596,0.000030
20000,32,0.017151,0.017118,0.000033
20000,32,0.013291,0.013221,0.000070
20000,32,0.013363,0.013299,0.000064
20000,32,0.018735,0.018698,0.000037
20000,32,0.018844,0.018814,0.000030
20000,32,0.018959,0.018926,0.000033
20000,32,0.018484,0.018449,0.000035
20000,32,0.018871,0.018845,0.000026
20000,32,0.018113,0.018084,0.000029
20000,32,0.019105,0.019071,0.000034
20000,32,0.018551,0.018514,0.000037
20000,32,0.013371,0.013299,0.000072
20000,32,0.017041,0.016978,0.000063
20000,32,0.016254,0.016213,0.000041
20000,32,0.017880,0.017840,0.000040
20000,32,0.017047,0.017017,0.000030
20000,32,0.016746,0.016721,0.000025
20000,32,0.016856,0.016823,0.000033
20000,32,0.016854,0.016828,0.000026
20000,32,0.017088,0.017057,0.000031
20000,32,0.016577,0.016549,0.000028
20000,32,0.019007,0.018977,0.000030
